"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"1865",4,13,114401,1724,33.446183,-112.112809
"1866",4,13,114402,2014,33.44398,-112.104146
"1867",4,13,114500,4198,33.44488,-112.126091
"1868",4,13,114600,1914,33.439984,-112.141126
"1869",4,13,114703,8071,33.428316,-112.12403
"1870",4,13,114800,3285,33.428903,-112.089541
"1871",4,13,114900,2663,33.432363,-112.076174
"1872",4,13,115200,2623,33.409143,-111.998646
"1873",4,13,115300,2323,33.409854,-112.045854
"1874",4,13,115400,2232,33.410581,-112.074214
"1875",4,13,115500,3699,33.399244,-112.13891
"1876",4,13,115600,3864,33.399069,-112.107043
"1877",4,13,115700,6427,33.399119,-112.091729
"1878",4,13,115801,3862,33.399727,-112.068654
"1879",4,13,115802,3389,33.399704,-112.077558
"1880",4,13,115900,5332,33.398556,-112.055982
"1881",4,13,116000,5558,33.399394,-112.038374
"1882",4,13,116100,3963,33.402024,-112.021
"1883",4,13,116202,5033,33.3888,-111.987509
"1884",4,13,116203,4760,33.384535,-112.009079
"1885",4,13,116204,3638,33.396185,-111.986421
"1886",4,13,116205,4256,33.380803,-111.986077
"1887",4,13,116300,6118,33.386938,-112.039589
"1888",4,13,116400,5604,33.38554,-112.055576
"1889",4,13,116500,4920,33.385396,-112.075563
"1890",4,13,116602,7325,33.38602,-112.090423
"1891",4,13,116603,5736,33.38435,-112.209717
"1892",4,13,116604,4000,33.384623,-112.175878
"1893",4,13,116605,5066,33.38481,-112.158438
"1894",4,13,116606,5663,33.384629,-112.143567
"1895",4,13,116607,2526,33.395623,-112.12556
"1896",4,13,116608,3553,33.374196,-112.206439
"1897",4,13,116609,3176,33.368628,-112.175688
"1898",4,13,116610,4437,33.370589,-112.160904
"1899",4,13,116611,3217,33.350262,-112.153781
"1900",4,13,116612,4862,33.379421,-112.126645
